Codigo;Tipo;Interno;Externo;Altura
CP035005200211B-VT;BUFFER;35.0;27.6;3.2
CP042005200211B-VT;BUFFER;42.0;35.4;3.2
CP132005200211B-VT;BUFFER;132.0;124.6;3.2
CP142005200211B-VT;BUFFER;142.0;134.6;3.2
CR060006700500C-VT;BUFFER;60.0;71.7;4.2
CR070008150500C-VT;BUFFER;70.0;81.5;4.2
CR080009200500C-VT;BUFFER;80.0;92.0;4.2
CR090001000050C-VT;BUFFER;90.0;100.0;4.2
CR100011100500C-VT;BUFFER;100;111;4.20
CJTO. PTFE 15,88 X 23,20 X 3,20;BUFFER;15.88;23.20;3.20
CJTO. PTFE 18,00 X 25,30 X 3,20;BUFFER;18.00;25.30;3.20
CJTO. PTFE 20,00 X 30,70 X 4,20;BUFFER;20.00;30.70;4.20
CJTO. PTFE 20,00 X 27,30 X 3,20;BUFFER;20.00;27.30;3.20
CJTO. PTFE 22,00 X 32,70 X 4,20;BUFFER;22.00;32.70;4.20
CJTO. PTFE 25,00 X 32,30 X 3,20;BUFFER;25.00;32.30;3.20
CJTO. PTFE 25,00 X 35,70 X 4,20;BUFFER;25.00;35.70;4.20
CJTO. PTFE 25,40 X 32,70 X 3,20;BUFFER;25.40;32.70;3.20
CJTO. PTFE 28,00 X 38,70 X 4,20;BUFFER;28.00;38.70;4.20
CJTO. PTFE 28,58 X 39,20 X 4,20;BUFFER;28.58;39.20;4.20
CJTO. PTFE 28,00 X 36,33 X 3,20;BUFFER;28.00;36.33;3.20
CJTO. PTFE 30,00 X 40,70 X 4,20;BUFFER;30.00;40.70;4.20
CJTO. PTFE 31,75 X 42,45 X 4,20;BUFFER;31.75;42.45;4.20
CJTO. PTFE 32,00 X 39,30 X 3,20;BUFFER;32.00;39.30;3.20
CJTO. PTFE 32,00 X 42,70 X 4,20;BUFFER;32.00;42.70;4.20
CJTO. PTFE 32,00 X 42,70 X 3,20;BUFFER;32.00;42.70;3.20
CJTO. PTFE 32,00 X 44,00 X 4,20;BUFFER;32.00;44.00;4.20
CJTO. PTFE 34,92 X 42,22 X 3,20;BUFFER;34.92;42.22;3.20
CJTO. PTFE 35,00 X 45,70 X 4,20;BUFFER;35.00;45.70;4.20
CJTO. PTFE 36,00 X 46,70 X 4,20;BUFFER;36.00;46.70;4.20
CJTO. PTFE 38,10 X 48,80 X 4,20;BUFFER;38.10;48.80;4.20
CJTO. PTFE 38,10 X 53,20 X 6,30;BUFFER;38.10;53.20;6.30
CJTO. PTFE 40,00 X 50,70 X 4,20;BUFFER;40.00;50.70;4.20
